KEY,English,Russian
bkiTurretRetractSpace,Turret retracts when set to OFF. Retracted turrets have a higher armor value.\nOnly functional in space.,"Турель убирается, когда установлено значение ВЫКЛ. Убранные башни имеют более высокое значение брони.\nФункционирует только в космосе."
DetectorSVT1,Detector,Детектор
DetectorHVT1,Detector,Детектор
bkiTurret,Range given for space. On planets range is lower and depends on atmosphere density,Дальность приведена для космоса. На планетах дальность ниже и зависит от плотности атмосферы.
bkiTurretSpace,Only functional in space.,Функционирует только в космосе.
DrillEpic,Epic Drill,Эпический бур
cplTurrets,Turrets & Weapons,Турели & Орудия
igmWeaponRetracted,Your weapons are retracted. Activate them before using,Ваши орудия убраны. Активируйте их перед использованием
cplTurretTargetFaction,Select main targeting group (one required),Выберите основную группу целей (только одну)
cplTurretTargetBlockType,Select a device (required for HV/SV/CV/BA),Выберите устройство (только для ПС/МС/БС/БА)
cplTurretTargetType,Select sub-targeting group (one required),Выберите подгруппу целей (только одну)
AdrenalineCrash,Adrenaline Crash,Адреналиновый крэш-синдром
AdrenalineBoost,Adrenaline Boost,Адреналиновый взрыв
tipLock,"Copy existing block\n1. Select building block in toolbar\n2. Point on block whose texture & color to copy\n3. Press ""Lock""","Копирует существующий блок\n1. Выберете строительный блок на панели\n2. Нацельтесь на блок с нужной текстурой или цветом для копирования\n3. Нажмите ""Фиксировать"""
tipConnectToBase,"Connect to existing base\n1. Select building block in toolbar\n2. Point on base\n3. Press ""Connect""","Соединяет с существующей базой\n1. Выберете строительный блок на панели\n2. Нацельтесь на базу \n3. Нажмите ""Соединить"""
tipSymmetryPlane,Use symmetry plane for faster building,Используйте симметрию для более быстрого строительства
tipSelection,"Select parts of a structure to copy, move, rotate etc","Выберете часть структуры для копирования, перемещения, вращения и прочего"
tipShowBPParts,Show parts of structure that were saved via selection,"Показать части структуры, которые были сохранены с помощью выбора"
SentryGun03,Sentry Gun 1 - Player,Охранная турель 1 - Игрок
SentryGun03Retract,Sentry Gun 1 - Player (retractable),Охранная турель 1 - Игрок (выдвижная)
SentryGun05,Sentry Gun 2 - Player,Охранная турель 2 - Игрок
SentryGun05Retract,Sentry Gun 2 - Player (retractable),Охранная турель 2 - Игрок (выдвижная)
SentryGunBlocks,Sentry Guns - Player,Охранные турели - Игрок
TurretBaseProjectileBlocks,Projectile Turrets,Оружейные турели
TurretBaseMinigunRetract,Minigun Turret (retractable),Пулеметная турель (выдвижная)
TurretBaseRocketBlocks,Rocket Turrets,Ракетные турель
TurretBaseRocketRetract,Rocket Turret (retractable),Ракетная турель (выдвижная)
TurretBaseFlakRetract,Flak Turret (retractable),Зенитная турель (выдвижная)
TurretBaseLaserBlocks,Laser Turrets,Лазерные турели
TurretBasePulseLaserRetract,Pulse Laser Turret,Импульсная лазерная турель
TurretBasePlasmaRetract,Plasma Turret (retractable),Плазменная турель (выдвижная)
TurretBaseArtilleryBlocks,Artillery Turrets,Артиллерийские турели
TurretBaseArtilleryRetract,Artillery Turret (retractable),Артиллерийская турель (выдвижная)
TurretGVMinigunBlocks,Minigun Turrets,Пулеметные турели
TurretGVMinigunRetract,Minigun Turret (retractable),Пулеметная турель (выдвижная)
TurretGVRocketBlocks,Rocket Turrets,Ракетные турели
TurretGVRocketRetract,Rocket Turret (retractable),Ракетная турель (выдвижная)
